"","player","games_played","minutes_per_game","year","total_minutes","sum(total_minutes)","min_percentage"
"1","Gene Banks",27,34.6,"1981",934.2,6077.6,0.77
"2","Vince Taylor",30,34.3,"1981",1029,6077.6,0.85
"3","Kenny Dennard",30,33.1,"1981",993,6077.6,0.82
"4","Tom Emma",30,32.8,"1981",984,6077.6,0.81
"5","Chip Engelland",30,19.5,"1981",585,6077.6,0.48
"6","Mike Tissaw",30,24.3,"1981",729,6077.6,0.6
"7","Allen Williams",23,11,"1981",253,6077.6,0.21
"8","Larry Linney",26,9.5,"1981",247,6077.6,0.2
"9","Jim Suddath",24,9.2,"1981",220.8,6077.6,0.18
"10","Doug McNeely",16,4.5,"1981",72,6077.6,0.06
"11","Mac Dyke",3,1.3,"1981",3.9,6077.6,0
"12","Jon Weingart",6,1.7,"1981",10.2,6077.6,0.01
"13","Gordon Whitted",11,1.5,"1981",16.5,6077.6,0.01
"14","Vince Taylor",27,38.4,"1982",1036.8,5552.2,0.93
"15","Chip Engelland",27,37.3,"1982",1007.1,5552.2,0.91
"16","Tom Emma",26,34.6,"1982",899.6,5552.2,0.81
"17","Doug McNeely",25,22.7,"1982",567.5,5552.2,0.51
"18","Dan Meagher",26,17,"1982",442,5552.2,0.4
"19","Allen Williams",18,14.2,"1982",255.6,5552.2,0.23
"20","Greg Wendt",23,12.2,"1982",280.6,5552.2,0.25
"21","Todd Anderson",20,14.9,"1982",298,5552.2,0.27
"22","Mike Tissaw",26,23.5,"1982",611,5552.2,0.55
"23","Jay Bryan",21,7,"1982",147,5552.2,0.13
"24","Ned Franke",3,1,"1982",3,5552.2,0
"25","Richard Ford",4,1,"1982",4,5552.2,0
"26","Johnny Dawkins",28,35.8,"1983",1002.4,5599.1,0.9
"27","Mark Alarie",28,28,"1983",784,5599.1,0.7
"28","Chip Engelland",24,21.5,"1983",516,5599.1,0.46
"29","Dave Henderson",28,24.9,"1983",697.2,5599.1,0.62
"30","Jay Bilas",28,23,"1983",644,5599.1,0.58
"31","Tom Emma",28,27.4,"1983",767.2,5599.1,0.69
"32","Dan Meagher",28,14,"1983",392,5599.1,0.35
"33","Bill Jackman",27,10.6,"1983",286.2,5599.1,0.26
"34","Todd Anderson",22,10.5,"1983",231,5599.1,0.21
"35","Doug McNeely",10,7.5,"1983",75,5599.1,0.07
"36","Weldon Williams",13,3.1,"1983",40.3,5599.1,0.04
"37","Jay Bryan",8,3.4,"1983",27.2,5599.1,0.02
"38","Greg Wendt",21,4.1,"1983",86.1,5599.1,0.08
"39","Richard Ford",5,1,"1983",5,5599.1,0
"40","Mike Tissaw",13,3.5,"1983",45.5,5599.1,0.04
"41","Johnny Dawkins",34,38.4,"1984",1305.6,6921.4,0.94
"42","Mark Alarie",34,33.2,"1984",1128.8,6921.4,0.82
"43","Dave Henderson",33,26.6,"1984",877.8,6921.4,0.63
"44","Jay Bilas",34,22.4,"1984",761.6,6921.4,0.55
"45","Dan Meagher",34,27.7,"1984",941.8,6921.4,0.68
"46","Tommy Amaker",34,36.3,"1984",1234.2,6921.4,0.89
"47","Doug McNeely",34,11.4,"1984",387.6,6921.4,0.28
"48","Martin Nessley",22,6.7,"1984",147.4,6921.4,0.11
"49","Jay Bryan",9,2.9,"1984",26.1,6921.4,0.02
"50","Todd Anderson",18,3.7,"1984",66.6,6921.4,0.05
"51","Richard Ford",12,2.5,"1984",30,6921.4,0.02
"52","Vince Crump",7,1.7,"1984",11.9,6921.4,0.01
"53","Weldon Williams",2,1,"1984",2,6921.4,0
"54","Johnny Dawkins",31,36,"1985",1116,6272.5,0.89
"55","Mark Alarie",31,30.2,"1985",936.2,6272.5,0.75
"56","Dave Henderson",28,23.6,"1985",660.8,6272.5,0.53
"57","Jay Bilas",31,24.6,"1985",762.6,6272.5,0.61
"58","Tommy Amaker",31,33.8,"1985",1047.8,6272.5,0.84
