"","school","year","n()"
"1","alabama","2002",8
"2","alabama","2003",8
"3","alabama","2005",7
"4","alabama","2006",9
"5","alabama","2007",8
"6","alabama","2008",9
"7","alabama","2009",11
"8","alabama","2010",8
"9","alabama","2011",9
"10","alabama","2012",9
"11","alabama","2013",9
"12","alabama","2014",9
"13","alabama","2015",9
"14","alabama","2016",9
"15","alabama","2017",9
"16","alabama","2018",10
"17","alabama","2019",10
"18","arizona","2002",8
"19","arizona","2003",9
"20","arizona","2004",7
"21","arizona","2005",7
"22","arizona","2006",9
"23","arizona","2007",7
"24","arizona","2008",8
"25","arizona","2009",6
"26","arizona","2010",9
"27","arizona","2011",10
"28","arizona","2012",9
"29","arizona","2013",8
"30","arizona","2014",7
"31","arizona","2015",9
"32","arizona","2016",8
"33","arizona","2017",9
"34","arizona","2018",9
"35","arizona","2019",10
"36","arizona-state","2002",9
"37","arizona-state","2003",8
"38","arizona-state","2004",10
"39","arizona-state","2005",8
"40","arizona-state","2006",8
"41","arizona-state","2007",7
"42","arizona-state","2008",9
"43","arizona-state","2009",7
"44","arizona-state","2010",8
"45","arizona-state","2011",9
"46","arizona-state","2012",9
"47","arizona-state","2013",7
"48","arizona-state","2014",8
"49","arizona-state","2015",8
"50","arizona-state","2016",8
"51","arizona-state","2017",6
"52","arizona-state","2018",8
"53","arizona-state","2019",8
"54","arkansas","2000",9
"55","arkansas","2002",10
"56","arkansas","2003",9
"57","arkansas","2004",10
"58","arkansas","2005",9
"59","arkansas","2006",8
"60","arkansas","2007",9
"61","arkansas","2008",8
"62","arkansas","2009",7
"63","arkansas","2010",10
"64","arkansas","2011",10
"65","arkansas","2012",9
"66","arkansas","2013",12
"67","arkansas","2014",11
"68","arkansas","2015",10
"69","arkansas","2016",9
"70","arkansas","2017",9
"71","arkansas","2018",10
"72","arkansas","2019",9
"73","auburn","2002",9
"74","auburn","2003",8
"75","auburn","2004",8
"76","auburn","2006",8
"77","auburn","2008",8
"78","auburn","2009",7
"79","auburn","2010",8
"80","auburn","2011",10
"81","auburn","2012",9
"82","auburn","2013",10
"83","auburn","2014",9
"84","auburn","2015",8
"85","auburn","2016",8
"86","auburn","2017",11
"87","auburn","2018",9
"88","auburn","2019",10
"89","baylor","2002",8
"90","baylor","2003",8
"91","baylor","2004",7
"92","baylor","2005",8
"93","baylor","2006",8
"94","baylor","2007",8
"95","baylor","2008",9
"96","baylor","2009",8
"97","baylor","2010",7
"98","baylor","2011",8
"99","baylor","2012",9
"100","baylor","2013",8
"101","baylor","2014",8
"102","baylor","2015",8
"103","baylor","2016",9
"104","baylor","2017",9
"105","baylor","2018",8
"106","baylor","2019",10
"107","boston-college","2002",8
"108","boston-college","2003",7
"109","boston-college","2004",8
"110","boston-college","2005",8
"111","boston-college","2006",9
"112","boston-college","2007",9
"113","boston-college","2008",9
"114","boston-college","2009",9
"115","boston-college","2010",10
"116","boston-college","2011",9
"117","boston-college","2012",9
"118","boston-college","2013",8
"119","boston-college","2014",9
"120","boston-college","2015",8
"121","boston-college","2016",10
"122","boston-college","2017",8
"123","boston-college","2018",7
"124","boston-college","2019",8
"125","california","2003",8
"126","california","2004",8
"127","california","2005",10
"128","california","2006",7
"129","california","2007",8
"130","california","2008",8
"131","california","2009",8
"132","california","2010",8
"133","california","2011",8
"134","california","2012",7
"135","california","2013",7
"136","california","2014",8
"137","california","2015",9
"138","california","2016",9
"139","california","2017",10
"140","california","2018",7
"141","california","2019",8
"142","clemson","2002",9
"143","clemson","2003",9
"144","clemson","2004",8
"145","clemson","2005",9
"146","clemson","2006",9
"147","clemson","2007",8
"148","clemson","2009",9
"149","clemson","2010",9
"150","clemson","2011",9
"151","clemson","2012",9
"152","clemson","2013",8
"153","clemson","2014",10
"154","clemson","2015",9
"155","clemson","2016",7
"156","clemson","2017",8
"157","clemson","2018",8
"158","clemson","2019",8
"159","colorado","2004",9
"160","colorado","2006",10
"161","colorado","2008",8
"162","colorado","2009",8
"163","colorado","2010",10
"164","colorado","2011",8
"165","colorado","2012",9
"166","colorado","2013",8
"167","colorado","2014",8
"168","colorado","2015",9
"169","colorado","2016",9
"170","colorado","2017",11
"171","colorado","2018",10
"172","colorado","2019",7
"173","duke","2002",6
"174","duke","2003",9
"175","duke","2004",7
"176","duke","2006",7
"177","duke","2007",7
"178","duke","2008",9
"179","duke","2009",9
"180","duke","2010",8
"181","duke","2011",9
"182","duke","2012",8
"183","duke","2013",8
"184","duke","2014",8
"185","duke","2015",9
"186","duke","2016",6
"187","duke","2017",7
"188","duke","2018",8
"189","duke","2019",9
