"","school","n()"
"1","alabama",3
"2","arizona",2
"3","arizona-state",1
"4","arkansas",8
"5","auburn",4
"6","baylor",1
"7","boston-college",2
"8","california",2
"9","clemson",1
"10","colorado",4
"11","florida",1
"12","florida-state",6
"13","georgia",3
"14","georgia-tech",2
"15","illinois",3
"16","indiana",2
"17","iowa",5
"18","iowa-state",1
"19","kansas",3
"20","kansas-state",1
"21","kentucky",2
"22","louisiana-state",1
"23","louisville",3
"24","maryland",3
"25","miami-fl",4
"26","michigan",3
"27","michigan-state",6
"28","minnesota",7
"29","mississippi",3
"30","mississippi-state",1
"31","missouri",5
"32","nebraska",1
"33","north-carolina",4
"34","north-carolina-state",3
"35","northwestern",2
"36","notre-dame",1
"37","oklahoma",2
"38","oklahoma-state",3
"39","oregon",4
"40","oregon-state",3
"41","penn-state",3
"42","pittsburgh",2
"43","purdue",6
"44","rutgers",3
"45","south-carolina",3
"46","southern-california",1
"47","stanford",2
"48","tennessee",5
"49","texas",6
"50","texas-am",4
"51","texas-christian",2
"52","texas-tech",3
"53","ucla",2
"54","utah",4
"55","vanderbilt",3
"56","virginia",3
"57","virginia-tech",2
"58","wake-forest",2
"59","washington",3
"60","washington-state",4
"61","west-virginia",6
