"","school","mean(`n()`)","n()"
"1","alabama",8.88235294117647,17
"2","arizona",8.27777777777778,18
"3","arizona-state",8.05555555555556,18
"4","arkansas",9.36842105263158,19
"5","auburn",8.75,16
"6","baylor",8.22222222222222,18
"7","boston-college",8.5,18
"8","california",8.11764705882353,17
"9","clemson",8.58823529411765,17
"10","colorado",8.85714285714286,14
"11","duke",7.88235294117647,17
"12","florida",8.61111111111111,18
"13","florida-state",9.41176470588235,17
"14","georgia",8.66666666666667,18
"15","georgia-tech",8.64705882352941,17
"16","illinois",8.58823529411765,17
"17","indiana",8.75,16
"18","iowa",8.77777777777778,18
"19","iowa-state",7.94117647058824,17
"20","kansas",8.27777777777778,18
"21","kansas-state",8.23529411764706,17
"22","kentucky",8.23529411764706,17
"23","louisiana-state",8.17647058823529,17
"24","louisville",8.93333333333333,15
"25","maryland",8.72222222222222,18
"26","miami-fl",8.72222222222222,18
"27","michigan",8.38888888888889,18
"28","michigan-state",8.83333333333333,18
"29","minnesota",9.11111111111111,18
"30","mississippi",8.70588235294118,17
"31","mississippi-state",8.05555555555556,18
"32","missouri",8.70588235294118,17
"33","nebraska",8.4375,16
"34","north-carolina",8.5,16
"35","north-carolina-state",8.38888888888889,18
"36","northwestern",8.4,20
"37","notre-dame",7.94444444444444,18
"38","ohio-state",8.23529411764706,17
"39","oklahoma",8.44444444444444,18
"40","oklahoma-state",8.27777777777778,18
"41","oregon",8.6875,16
"42","oregon-state",8.55555555555556,18
"43","penn-state",8.1875,16
"44","pittsburgh",8.61111111111111,18
"45","purdue",9,18
"46","rutgers",8.66666666666667,18
"47","south-carolina",8.58823529411765,17
"48","southern-california",8.41176470588235,17
"49","stanford",8.66666666666667,18
"50","syracuse",7.94444444444444,18
"51","tennessee",8.83333333333333,18
"52","texas",8.77777777777778,18
"53","texas-am",9,16
"54","texas-christian",8.44444444444444,18
"55","texas-tech",8.77777777777778,18
"56","ucla",8,17
"57","utah",8.94444444444444,18
"58","vanderbilt",8.72222222222222,18
"59","virginia",8.82352941176471,17
"60","virginia-tech",8.82352941176471,17
"61","wake-forest",8.5,18
"62","washington",8.64705882352941,17
"63","washington-state",8.88235294117647,17
"64","west-virginia",8.66666666666667,18
"65","wisconsin",7.82352941176471,17
